Halving Event,Date,Days,Years,Mined Blocks,Block Reward,Block Reward USD,Minted,Circulating Supply,Price USD,Halving Differential,Halving Multiple,Wallet,Wallet USD
Today,,-,-,-,-,-,-,-,-,-,-,,
0,1/4/2009,0,0.00000000,0,50.00000000,0,0,21000000.00000000,0.00000000,-,-,-,-
1,11/28/2012,1424,3.89869952,210000,25.00000000,308.75,10500000.00000000,10500000.00000000,12.35000000,0.01898160,-,,
2,7/9/2016,1319,3.61122519,420000,12.50000000,8132.88,5250000.00000000,15750000.00000000,650.63000000,0.07375570,3.88564134,,
3,5/11/2020,1402,3.83846680,630000,6.25000000,55133.88,2625000.00000000,18375000.00000000,8821.42000000,0.28658819,3.88564134,,
4,5/11/2024,1461,4.00000000,840000,3.12500000,107115.23,1312500.00000000,19687500.00000000,34276.87424292,1.11357893,3.88564134,,
5,5/11/2028,1461,4.00000000,1050000,1.56250000,208105.69,656250.00000000,20343750.00000000,133187.63963281,4.32696835,3.88564134,,
6,5/11/2032,1461,4.00000000,1260000,0.78125000,404312.03,328125.00000000,20671875.00000000,517519.39880063,16.81304709,3.88564134,,
7,5/11/2036,1461,4.00000000,1470000,0.39062500,785505.77,164062.50000000,20835937.50000000,2010894.77126670,65.32947085,3.88564134,,
8,5/11/2040,1461,4.00000000,1680000,0.19531250,1526096.85,82031.25000000,20917968.75000000,7813615.85764552,253.84689279,3.88564134,,
9,5/11/2044,1461,4.00000000,1890000,0.09765625,2964932.50,41015.62500000,20958984.37500000,30360908.80697420,986.35798117,3.88564134,,
10,5/11/2048,1461,4.00000000,2100000,0.04882813,5760332.15,20507.81250000,20979492.18750000,117971602.44107100,3832.63334963,3.88564134,,
11,5/11/2052,1461,4.00000000,2310000,0.02441406,11191292.37,10253.90625000,20989746.09375000,458395335.62701300,14892.23859205,3.88564134,,
12,5/11/2056,1461,4.00000000,2520000,0.01220703,21742674.16,5126.95312500,20994873.04687500,1781159867.09229000,57865.89794821,3.88564134,,
13,5/11/2060,1461,4.00000000,2730000,0.00610352,42242116.80,2563.47656250,20997436.52343750,6920948416.28502000,224846.12535952,3.88564134,,
14,5/11/2064,1461,4.00000000,2940000,0.00305176,82068857.70,1281.73828125,20998718.26171880,26892323292.16650000,873671.40028547,3.88564134,,
15,5/11/2068,1461,4.00000000,3150000,0.00152588,159445073.19,640.86914063,20999359.13085940,104493923166.47200000,3394773.71227227,3.88564134,,
16,5/11/2072,1461,4.00000000,3360000,0.00076294,309773184.08,320.43457031,20999679.56542970,406025907843.41400000,13190873.08313990,3.88564134,,
17,5/11/2076,1461,4.00000000,3570000,0.00038147,601833745.36,160.21728516,20999839.78271480,1577671053439.45000000,51255001.78892350,3.88564134,,
18,5/11/2080,1461,4.00000000,3780000,0.00019073,1169255040.99,80.10864258,20999919.89135740,6130263869321.02000000,199158553.93532500,3.88564134,,
19,5/11/2084,1461,4.00000000,3990000,0.00009537,2271652863.31,40.05432129,20999959.94567870,23820006728002.70000000,773858710.78403600,3.88564134,,
20,5/11/2088,1461,4.00000000,4200000,0.00004768,4413414140.18,20.02716064,20999979.97283940,92556002909045.30000000,3006937399.48927000,3.88564134,,
21,5/11/2092,1461,4.00000000,4410000,0.00002384,8574472221.22,10.01358032,20999989.98641970,359639431353659.00000000,11683880272.26150000,3.88564134,,
22,5/11/2096,1461,4.00000000,4620000,0.00001192,16658661874.31,5.00679016,20999994.99320980,1397429842681150.00000000,45399368220.87740000,3.88564134,,
23,5/12/2100,1461,4.00000000,4830000,0.00000596,32364792640.61,2.50339508,20999997.49660490,5429911169266420.00000000,176405662059.72200000,3.88564134,,
24,5/12/2104,1461,4.00000000,5040000,0.00000298,62878988154.80,1.25169754,20999998.74830250,21098687322689200.00000000,685449133462.13800000,3.88564134,,
25,5/12/2108,1461,4.00000000,5250000,0.00000149,122162597958.70,0.62584877,20999999.37415120,81981931722972300.00000000,2663409490818.56000000,3.88564134,,
26,5/12/2112,1461,4.00000000,5460000,0.00000075,237340020537.23,0.31292439,20999999.68707560,318552383199802000.00000000,10349054028199.80000000,3.88564134,,
27,5/12/2116,1461,4.00000000,5670000,0.00000037,461109097955.29,0.15646219,20999999.84353780,1237780309753780000.00000000,40212712182564.60000000,3.88564134,,
28,5/12/2120,1461,4.00000000,5880000,0.00000019,895852287093.71,0.07823110,20999999.92176890,4809570343892850000.00000000,156252176930520.00000000,3.88564134,,
29,5/12/2124,1461,4.00000000,6090000,0.00000009,1740480341528.28,0.03911555,20999999.96088450,18688265365487200000.00000000,607139918458728.00000000,3.88564134,,
30,5/12/2128,1461,4.00000000,6300000,0.00000005,3381441184990.29,0.01955777,20999999.98044220,72615896514403800000.00000000,2359127967541740.00000000,3.88564134,,
31,5/12/2132,1461,4.00000000,6510000,0.00000002,6569533831969.86,0.00977889,20999999.99022110,282159329582761000000.00000000,9166725161748630.00000000,3.88564134,,
32,5/12/2136,1461,4.00000000,6720000,0.00000001,12763426127584.90,0.00488944,20999999.99511060,1096369956057780000000.00000000,35618606259242100.00000000,3.88564134,,
33,5/12/2140,1461,4.00000000,6930000,0.00000001,24797048113453.40,0.00244472,20999999.99755530,4260100427384840000000.00000000,138401129025331000.00000000,3.88564134,,
